SizeBytes,Source,Container,FullPath
50691,qassrcontentstore,organizer-00000007,/qassrcontentstore/organizer-00000007/2021/3439f913-0e43-4a00-b9f4-0e830f45c4bf/additionalesigndocs/9a67c160-126a-42f3-8836-ca6908ffb770
50771,qassrcontentstore,organizer-00000007,/qassrcontentstore/organizer-00000007/2021/fcd44b37-7ef1-4394-859e-1f25cc9d602d/additionalesigndocs/cdd46bdd-b0ac-4795-835c-8d10bed0de8c
50792,qassrcontentstore,organizer-00000007,/qassrcontentstore/organizer-00000007/myzipJobs/3ab206b7-6e3c-4a31-a995-74e67097dd5e
51389,qassrcontentstore,organizer-00000255,/qassrcontentstore/organizer-00000255/2020/batch/bf646bbb-046c-55b6-515a-428c75504e47/additionalesigndocs/2ef46ae0-7028-433a-af1c-9133a8f44262
51391,qassrcontentstore,organizer-00000255,/qassrcontentstore/organizer-00000255/2020/batch/40c7d7d3-21ea-0cb6-2405-364b5924db87/additionalesigndocs/65f28db6-a74b-4d47-be43-67e5ffa70bca
